SPTAN1
HSPA8 /// SNORD14C /// SNORD14D
NOTCH2NL
GFAP
UBB
SKP1
C14orf132
ZNF721
STMN2
YWHAB
TSPAN5
TRA2B
FAM19A1
SNCA
ND6
TUBB
C8orf46
TENM2
NRGN
MIR612 /// NEAT1
MAPT
GOT2
KIF5A
METTL7A
RAPGEF2
NFIC
FAM107A
YWHAQ
STMN3
SERP2
ATP5C1
EPS15L1
TCF7L2
RTN3
ADAR
GAP43
OSBPL8
SH3GL2
CREG2
HK1
LOC101060275 /// LOC101929910 /// LOC613037 /// NPIPA5 /// NPIPB11 /// NPIPB3 /// NPIPB4 /// NPIPB5
SPP1
RAP1GDS1
PSMD1
RPL15
LOC729966 /// PDE4C
PDIA6
RSF1
RAB28
COX7B
CHN1
TBCB
METTL5
ZBTB20
ARF1 /// MIR3620
ENO1
HOPX
ENC1
TCEAL3
SRP72
NTRK2
YY1
SLC7A1
MFSD4
ERLEC1
BCL6
TUBA4A
USMG5
ZFP36L1
SIK3
PPP2R2B
PPP1CB
ATPAF1
SORBS2
PCSK2
SPHKAP
SCN2A
SCD
ATL1
SNX3
C2orf80
HSBP1
DNAJC6
GABRG2
ERICH3
LPAR1
RNF187
ENO2
SRD5A1
ABCA1
PCP4
UROD
FAM213A
ANAPC5
PPP2R2C
SPCS1
FDFT1
MXRA7
SORBS1
REEP5
HSPA1A /// HSPA1B
ATP6V1E1
SLC9A6
